player_name,age,player_height,player_weight,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct,team_abbreviation,season,composite_score,role
Spencer Dinwiddie,28.0,198.12,95.25432,278,17.1,3.375,5.775,-0.675,0.015,0.08925,0.23925,0.55925,0.29575,BKN,2022-23,8.5365,Playmaker
Jaren Jackson Jr.,21.0,210.82,109.769264,256,16.525,5.475,1.15,3.2,0.04749999999999997,0.139,0.24,0.583,0.06324999999999997,MEM,2022-23,8.5115,All-Around
Danilo Gallinari,31.5,208.28,102.0582,247,15.875,5.025,1.875,3.525,0.02075,0.161,0.218,0.60925,0.10450000000000001,ATL,2021-22,8.498999999999999,Rebounder
Brook Lopez,32.75,213.36,122.46984,297,13.175,5.3,1.175,9.35,0.040749999999999974,0.12575,0.17475000000000002,0.5972500000000001,0.055249999999999994,MIL,2022-23,8.44175,All-Around
Jordan Clarkson,29.0,195.58,87.996848,360,17.44,3.4799999999999995,2.7399999999999998,1.7599999999999998,0.030799999999999984,0.09119999999999998,0.26739999999999997,0.5504,0.15699999999999997,UTA,2022-23,8.3912,All-Around
Tyrese Haliburton,22.0,195.58,83.91452,191,16.333333333333332,3.5666666666666664,7.966666666666666,-4.2,0.020666666666666667,0.08700000000000001,0.19899999999999998,0.6013333333333333,0.3463333333333334,IND,2022-23,8.380666666666666,Playmaker
Dillon Brooks,25.5,200.66,102.0582,245,16.525,3.175,2.45,5.025,0.02625,0.07725,0.25,0.5085,0.11999999999999994,MEM,2022-23,8.361749999999999,All-Around
Victor Oladipo,29.0,193.04,95.25432,111,16.433333333333334,4.466666666666666,4.433333333333334,0.6,0.013999999999999966,0.1333333333333333,0.256,0.5146666666666667,0.22966666666666669,MIA,2022-23,8.344,All-Around
Kyle Kuzma,25.0,205.74,99.79024,329,16.54,6.36,2.58,-0.5599999999999998,0.033800000000000004,0.1608,0.2326,0.5428000000000001,0.12339999999999995,WAS,2022-23,8.294400000000001,All-Around
Jarrett Allen,23.0,210.82,107.501304,337,13.040000000000001,9.72,1.6,0.78,0.1036,0.2178,0.16160000000000002,0.665,0.0802,CLE,2022-23,8.288,Rebounder
LaMarcus Aldridge,34.5,210.82,117.93392,207,16.65,6.65,1.9,-1.1,0.06299999999999997,0.1625,0.23674999999999996,0.5767500000000001,0.10074999999999998,BKN,2021-22,8.270249999999999,Rebounder
Buddy Hield,28.0,193.04,97.068688,386,17.78,4.74,2.94,-2.2,0.025,0.1212,0.22519999999999998,0.5764,0.13539999999999996,IND,2022-23,8.269200000000001,All-Around
Caris LeVert,26.0,200.66,92.532768,264,16.34,4.0200000000000005,4.34,0.5,0.0268,0.10179999999999997,0.24659999999999999,0.525,0.22579999999999995,CLE,2022-23,8.224,All-Around
Andre Drummond,27.0,210.82,126.552168,322,12.76,11.74,1.6800000000000002,-0.12000000000000002,0.1454,0.3282,0.225,0.5614,0.1024,CHI,2022-23,8.1782,Rebounder
Dennis Schroder,27.0,185.42,78.017824,335,15.180000000000001,3.3,4.6,2.62,0.014000000000000002,0.09159999999999999,0.2266,0.542,0.23019999999999996,LAL,2022-23,8.153,All-Around
RJ Barrett,21.5,198.12,97.068688,271,17.875,5.4,2.85,-2.7249999999999996,0.025500000000000002,0.13025,0.2465,0.514,0.13275,NYK,2022-23,8.14575,All-Around
Eric Bledsoe,30.5,185.42,92.98636,264,13.225,4.0,4.725,4.975,0.02325,0.1085,0.20925,0.5487500000000001,0.23900000000000002,POR,2021-22,8.105,Playmaker
Terry Rozier,27.0,185.42,86.18248,347,17.56,4.220000000000001,4.16,-3.38,0.0198,0.11059999999999999,0.22799999999999992,0.5424,0.2024,CHA,2022-23,8.0642,All-Around
Cade Cunningham,20.0,198.12,99.79024,64,17.4,5.5,5.6,-6.2,0.026,0.143,0.273,0.504,0.283,DET,2021-22,8.022,Playmaker
Franz Wagner,20.5,208.28,99.79024,159,16.9,4.3,3.2,-1.85,0.03,0.10200000000000001,0.219,0.574,0.15899999999999995,ORL,2022-23,8.0145,All-Around
Jerami Grant,27.0,205.74,99.79024,315,17.52,4.38,1.9600000000000002,-1.78,0.0246,0.10939999999999998,0.217,0.5802,0.0972,POR,2022-23,7.9976,All-Around
Al Horford,35.0,208.28,111.13004,295,11.940000000000001,6.82,3.6,3.9200000000000004,0.048,0.1774,0.1696,0.5768,0.1766,BOS,2022-23,7.984400000000001,Rebounder
Josh Giddey,19.5,203.2,92.98636,130,14.55,7.85,6.300000000000001,-5.25,0.05499999999999995,0.18199999999999994,0.22849999999999998,0.5055,0.309,OKC,2022-23,7.924,Playmaker
Steven Adams,27.0,213.36,120.20188,319,9.58,9.84,2.3,5.8,0.1438,0.1908,0.1406,0.583,0.1082,MEM,2022-23,7.921,Rebounder
Jalen Brunson,24.0,190.5,86.18248,345,14.080000000000002,3.1,4.2,3.2399999999999998,0.017,0.09879999999999997,0.21239999999999998,0.58,0.244,NYK,2022-23,7.91,All-Around
John Wall,30.0,193.04,95.25432,106,17.566666666666666,3.1666666666666665,6.933333333333334,-6.166666666666667,0.014333333333333332,0.08900000000000001,0.287,0.509,0.3786666666666667,LAC,2022-23,7.8919999999999995,Playmaker
Montrezl Harrell,27.0,203.2,108.86208,342,13.48,5.74,1.48,3.0,0.0932,0.14999999999999997,0.2118,0.6408,0.10300000000000001,PHI,2022-23,7.8604,All-Around
Tyrese Maxey,21.0,187.96,90.7184,196,15.266666666666666,2.6,3.266666666666667,2.466666666666667,0.011000000000000001,0.08566666666666667,0.21899999999999997,0.5766666666666667,0.18833333333333332,PHI,2022-23,7.8533333333333335,All-Around
